|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|description
0|1000 Corks|40000.0|Search|40000|operating|USA|Lake Oswego|1|2008.0|technology|1000 Corks lets you find your favorite wines at great prices.
1|100Plus|750000.0|Analytics|1250000|acquired|USA|San Francisco|2|2011.0|technology|100Plus is a personalized health prediction startup using data analytics and game mechanics to show how small changes in behavior can lead to a longer and better life. 100Plus is led by Chris Hogg, who has over a decade of experience in healthcare and health data analytics and co-founded by healthcare innovator Ryan Howard, Founder and CEO of Practice Fusion.
2|15Five|2200000.0|Software|3400000|operating|USA|San Francisco|3|2011.0|technology|15Five provides web-based employee engagement and performance software that helps create high performing teams by combining OKRs, pulse surveys,  peer recognition, and feedback in one simple weekly check-in. Over 1,100 businesses worldwide use 15Five to allow employees to share their triumphs and challenges, stay focused on key objectives, and get regular feedback from managers who support them in reaching their potential.
3|22seeds|250000.0|Software|250000|operating|ISR|Tel Aviv|1|2010.0|technology|"22seeds specializes in the development, product management, and marketing of mobile and web applications.Makers of the hit iPhone app ""Last Night Never Happened"" and the recently launched social network Echoer."
4|24PageBooks|50000.0|Software|50000|closed|USA|Rochester|1|2010.0|technology|24PageBooks, Inc. provides digital eBooks on emerging trends, new business strategies, and personal growth subjects. It offers instant access to business and self-improvement insights under various categories through online, including start-up stories, book reviews, business titles, creativity, entrepreneurship, featured, instant expertise, lifestyle, new book titles, publishing, social networks, the eBook evolution, and uncategorized. The company provides its services through catalog, and Amazon and Apple iBooks stores distribution channels. 24PageBooks, Inc. was incorporated in 2011 and is based in Rochester, New York.
5|250ok|200000.0|Software|200000|operating|USA|Indianapolis|1|2012.0|technology|250ok is the premier email analytics and deliverability platform, driving advanced insights into performance, sender reputation, fraud protection (DMARC), and consumer engagement. Don't send more mail, send better mail.
6|3C Plus|75000.0|Web Development|75000|operating|BRA|Curitiba|1|2013.0|technology|3C Plus provides a cloud-based solution for small and medium-sized contact centers, giving them a chance to access top-notch technology for cheap. Their solution, which is completely in the cloud, has no setup and implementation fees, thus enabling smaller clients to play a larger role in their respective markets. These facts allow for agents to work from home, since no physical hardware is necessary other than a computer, an internet connection and a headset.
7|3D Biomatrix|1465000.0|Biotechnology|1465000|operating|USA|Ann Arbor|1|2010.0|technology|3D Biomatrix Inc. designs and manufactures three-dimensional cell culture plates and scaffolds for cellular assays in drug discovery. Its scaffolds are used by researchers and drug discovery experts in bone-marrow, hepatocytes, and thymus applications. 3D Biomatrix Inc. was founded in 2010 and is based in Ann Arbor, Michigan.
8|3LM|1500000.0|Android|1500000|acquired|||1|2010.0|technology|3LM has already signed deals to provide its technology to several other device makers and those deals are expected to be announced soon, said the person familiar with the matter.
9|3Play Media|50000.0|Software|1011601|operating|USA|Cambridge|3|2007.0|technology|3Play Media provides a more technologically advanced and cost-effective captioning, audio description, and subtitling solution. We work with more than 2,000 customers across media & entertainment, enterprise and educational institutions. Our methods allow us to reduce the cost and simplify the process, while maintaining premium quality levels. We provide all major caption formats, efficient workflows, an API, and fast turnaround. 3Play Media was borne out of MIT in 2007 and operates in Boston, MA.
