|Unnamed: 0|city|company_name|country_code|description|founded_year|funding_rounds|funding_total_usd|market|raised_amount_usd|sector|status|hasAI|hasAlgo|hasData|hasDeep|hasYtics
0|1.0|San Francisco|100Plus|USA|100Plus is a personalized health prediction startup using data analytics and game mechanics to show how small changes in behavior can lead to a longer and better life. 100Plus is led by Chris Hogg, who has over a decade of experience in healthcare and health data analytics and co-founded by healthcare innovator Ryan Howard, Founder and CEO of Practice Fusion.|2011.0|2|1250000|Analytics|750000.0|technology|acquired|0|0|0|0|0
1|5.0|Indianapolis|250ok|USA|250ok is the premier email analytics and deliverability platform, driving advanced insights into performance, sender reputation, fraud protection (DMARC), and consumer engagement. Don't send more mail, send better mail.|2012.0|1|200000|Software|200000.0|technology|operating|0|0|0|0|0
2|15.0|Boulder|5o9|USA|3PMobile® builds software targeted to businesses who want to extend their Web services to mobile users. Our solution is designed to balance the need for user data privacy and control, with the need for enterprise commerce and convenience.|2006.0|1|50000|Software|50000.0|technology|operating|0|0|0|0|0
3|17.0|Espoo|720°|FIN|20° is an air quality testing company that provides solutions for continuous indoor environmental quality monitoring, helping companies with healthy & productive workplaces. Addressing leading challenges in corporate real estate & facility management through analytics of quantitative data from sensors, buildings and occupants.|2012.0|1|190035|Predictive Analytics|190035.0|technology|operating|0|0|0|0|0
4|23.0||A's Child||Digital parental control and personal data analysis service “Filii” for Children.Development and operation of Filii and related business.|2013.0|1|43138|Twitter Applications|43138.0|technology|operating|0|0|0|0|0
5|27.0|Provo|AIRVEND|USA|AirVend is an interactive touchscreen device that displays nutritional info, provides cashless options, and sends real-time data and alerts wirelessly.With the platform in place, innovation can continually flow via over-the-air updates. Actionable Ads, loyalty & coupons, new cashless payment options, dynamic pricing, custom promotion, and much, much more...We are passionate technologists on a mission to make the latest technology affordable for the Vending masses.|2012.0|1|1200000|Software|1200000.0|technology|operating|0|0|0|0|0
6|31.0||AVentures Capital||AVentures Capital invests at early stage and looks to team up with amazing entrepreneurs from Eastern Europe, particularly Ukraine, who build global businesses. The Fund's investment focus will be across software tech space, including cloud, storage, enterprise solutions, web, mobile, IoT and other software tech related.|1994.0|2|1000000|Internet|1000000.0|technology|operating|0|0|0|0|0
7|32.0|Dublin|AYLIEN|IRL|Aylien is an artificial intelligence startup that focuses on creating technologies that help machines understand human languages better. The firm provides Text Analysis and News API's that allow users to make sense of human-generated content at scale. AYLIEN also provides a range of content analysis solutions to developers, data scientists, marketers and academics. Their core offerings include packages of information retrieval, machine learning, natural language processing and image recognition APIs.|2011.0|1|500000|Semantic Web|500000.0|technology|operating|0|0|0|0|0
8|33.0|New York|Abacus Labs|USA|Abacus Labs, Inc. develops Abacus, a mobile application that simplifies and enhances the expense-management system for employees and managers.Abacus was founded in 2013 by Omar, Ted, and Josh with a simple idea: when employees at your company incur expenses, you should be able to pay them back quickly. Abacus has been designed from the ground up to keep pace with the speed at which business now moves.Replacing the expense report with a real time expense system, Abacus is helping businesses get money wherever it needs to go faster. By accounting for company spend at the expense level as itâ€™s happening, Abacus keeps all company business systems in sync and offers the most dynamic reporting on the market. Its goal is to provide finance teams with tools and data that enable them to become a strategic pillar in their organization.|2013.0|1|3500000|Software|3500000.0|technology|operating|0|0|0|0|0
9|38.0|Providence|Absolute Commerce|USA|Absolute Commerce works with Global 5000 organizations to improve the operational effectiveness and efficiency of their purchase-to-pay activities.Absolute Commerce combines an ultra-modern data acquisition platform, world class pricing and procurement optimization expertise, and proven ERP integration to solve the limitations of traditional electronic procurement platforms. The solution brings a simple, secure, and streamlined approach to the previously complex world of procurement catalog integration by providing a real time, consumer-like shopping experience within our customersâ€™ existing ERP systems, requiring zero customization at a cost that is easy to justify.The Absolute Commerce leadership team has a long track record of creating innovative solution to long-standing problems in the procure-to-pay arena|2012.0|1|200000|Software|200000.0|technology|operating|0|0|0|0|0
