|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
0|1,2,3 Listo|40000.0|E-Commerce|40000|operating|CHL|Las Condes|1|2012.0|online platforms and marketplaces|0
1|1000 Markets|500000.0|Marketplaces|500000|acquired|||1|2009.0|online platforms and marketplaces|0
2|10sec|1600000.0|Mobile Commerce|1600000|operating|||2|2013.0|online platforms and marketplaces|0
3|1DayMakeover|50000.0|E-Commerce|50000|closed|USA|Santa Ana|1|2008.0|online platforms and marketplaces|0
4|1Mind|500000.0|Social Media|500000|operating|USA|Hampton Falls|1|2011.0|online platforms and marketplaces|0
5|23press|50000.0|Blogging Platforms|50000|operating|CAN|Toronto|1|2011.0|online platforms and marketplaces|0
6|24Fundraiser.com|400000.0|Social Fundraising|400000|operating|USA|Willowbrook|1|2007.0|online platforms and marketplaces|1
7|27 Perry|118000.0|E-Commerce|118000|closed|USA|Boulder|1|2012.0|online platforms and marketplaces|0
8|2NGageU|58000.0|Mobile Social|58000|operating|USA|Williston|1|2011.0|online platforms and marketplaces|0
9|4-Tell|25000.0|E-Commerce|2234979|operating|USA|Stevenson|5|2009.0|online platforms and marketplaces|0
10|500Friends|1400000.0|E-Commerce|12900000|acquired|USA|San Francisco|6|2010.0|online platforms and marketplaces|0
11|5minutes|15873.0|Social Media|15873|operating|GBR|London|1|2011.0|online platforms and marketplaces|0
12|7 Billion People|3800000.0|E-Commerce|6528902|closed|USA|Austin|3|2006.0|online platforms and marketplaces|0
13|99Presents|20000.0|E-Commerce|20000|operating|IND|Vadodara|1|2012.0|online platforms and marketplaces|0
14|9GAG|2800000.0|Social Media|2800000|operating|HKG|Hong Kong|2|2008.0|online platforms and marketplaces|0
15|AHAlife.com|3649079.0|E-Commerce|22999079|operating|USA|New York|5|2009.0|online platforms and marketplaces|1
16|AI Merchant|40000.0|E-Commerce|40000|operating|CHL|Santiago|1|2010.0|online platforms and marketplaces|0
17|AKSEL GROUP|500000.0|E-Commerce|500000|operating|USA|New York|1|2010.0|online platforms and marketplaces|0
