company_name|description
Pryv|Pryv developed and sells licenses of pryv.io, a sensitive and eHealth data middleware. Customizable solutions for medtech and connected health organizations, enabling people to track personal and health metrics outside of medical institutions, in their daily life, while still receiving critical monitoring and care.A set of services for...
Public Insight Corporation|Public Insight Corporation was founded in 2012 with the mission of bringing relevance, insight and clarity to public data. We believe that public data should be always be in a easy-to-understand and analyze format. We serve both constituents, businesses and governments alike, with the end goal of increasing communication and clarity between both...
PulseOn|PulseOn is a Finnish technology company that produces heart rate monitors for analytics and other wellness solutions. The company is based in Espoo, Finland.
Pumant|Pumant is a Latin American company specialized in Software Product Development and Maintenance outsourcing, enabling a faster time to market at the lowest total cost. Currently Pumant has two offices, an international office at  Birmingham, UK, and a Software Development Center in Buenos Aires, Argentina.
Pump!|Lab equipment with cool design, high connectivity & easy-to-share results.
PunchTab|PunchTab is the leading engagement and insights platform committed to creating technology that allows brands and retailers to grow engagement and lifetime value with their consumers across any channel or device.Leading CPG and retail brands like The Yankee Candle Company, PURELL, ConAgra, Arby’s and more use PunchTab’s cloud-based solution to...
Pure Digital Technologies|Pure Digital Technologies is the provider of innovative imaging solutions for the mass market, including the Flip Video family of digital camcorders.The Flip Video camera is a simple digital camcorder designed especially for Internet video sharing. The camera contains on-board software enabling one-click uploads to YouTube, AOL Video, MySpace...
Puridify|Puridify conducts research and development activities on bioprocessing technologies aimed at advancing industrial biomolecule manufacture. The company was founded by Tom Haywood, Oliver Hardick, and Iwan Roberts in March 2013 and is based in United Kingdom.
Purple|Purple is a mobile marketing and engagement company that offers a suite of SaaS-based solution enabling users to create, distribute, maintain, track, and analyze their marketing content across devices and platforms without IT support. The company’s product portfolio includes SmartEngage, a SaaS platform with cloud-based development and...
Purplu Logistics|Purplu is a chilean Startup borned in 2013, specialized in logistics and Supply Chain.We provide a B2B solution that involves an app for Android and iOS( reads professional barcodes and RFID), and a web platform for Operations Analytics targeted to any kind of industry, like Logistics, Last Mile Control, or even events or access control....
PushCall|PushCall offers software solutions to improve online customer contact.The Web-to-Phone solution enables web visitors to start a call directly from the browser window. The company offering this solution, receives incoming calls on their existing telephone infrastructure.Next to the Web-to-Phone solution PushCall also enables other - more...
Pusher|Pusher is a developer tools company that makes communication and collaboration APIs powering apps all over the world. Their easy and reliable platform gives everything developers need to build scalable interactive apps.Using its core product, Channels, developers can easily create interactive features such as in-app notifications, activity...
Pushfor|Pushfor is a secure content sharing and instant messaging platform, designed for enterprises, that converts and projects content in high fidelity to any device.  We have a patented smart approach to delivering content of any type or size - whereby the content is not sent to the device but ‘pushed’ in real time without the file leaving its source...
Pycno|We enable farmers to improve the efficiency of their land by developing wireless soil sensors and a software platform with actionable advice. We are enabling farmers to collect more data from their field to make more accurate decisions. It allows them to increase yields while applying less resources, such as water and fertiliser. We build modular...
Q-Sensei|At Q-Sensei, we are driven to make data responsive, transparent and flexible for the user. To do this, we re-architected the way we organize and index data. We put a special focus on metadata and use its tremendous value to better understand data at large as well as flexibly navigate through data. As data and use cases keep changing we have...
QA on Request|"QA on Request provides on-demand software testing services to web and software development companies.
QA on Request is also the parent company of the Crowdsourced Testing Company, a crowdsourcing platform that connects web and software developers with an international community of vetted software testers...."
QR Artist|QR Artist makes you a professional QR code designer.With QR branding platform, Businesses can create, manage and measure the success of their mobile transactions.We plan to add NFC, Bluetooth Low energy (BLE) and RFID tags to make the most comprehensive platform for branding the offline-2-online bridge technologies.
