company_name|description
1000 Corks|1000 Corks lets you find your favorite wines at great prices.
22seeds|"22seeds specializes in the development, product management, and marketing of mobile and web applications.Makers of the hit iPhone app ""Last Night Never Happened"" and the recently launched social network Echoer."
250ok|250ok is the premier email analytics and deliverability platform, driving advanced insights into performance, sender reputation, fraud protection (DMARC), and consumer engagement. Don't send more mail, send better mail.
2U Inc.|2U is a cloud-based Software-as-a-Service platform providing schools with the comprehensive operating infrastructure they need to attract, enroll, educate, support, and graduate students globally. Blending live face-to-face classes, dynamic course content, and real-world learning experiences, 2U’s No Back Row approach ensures that every student can...
3D Biomatrix|3D Biomatrix Inc. designs and manufactures three-dimensional cell culture plates and scaffolds for cellular assays in drug discovery. Its scaffolds are used by researchers and drug discovery experts in bone-marrow, hepatocytes, and thymus applications. 3D Biomatrix Inc. was founded in 2010 and is based in Ann Arbor, Michigan.
3D Industries|3D Industri.es is redefining the online 3D experience with its unique and powerful 3D search technology. Users can navigate the 3D web and search for 3D models accurately, intuitively and quickly, using 3D shapes alone. Amongst other things, this overcomes the limitations of language.The firm offers a range of products and solutions based on...
3DiVi, Inc.|3DiVi Company is the leading 3D intelligence company focused on development of 3D computer vision solutions for applications in the new generation of gaming platforms, digital signage, and virtual reality.
3LM|3LM has already signed deals to provide its technology to several other device makers and those deals are expected to be announced soon, said the person familiar with the matter.
3TEN8.AI|AI for Mobile Network Operations
TrueDialog.com|TrueDialog is a leading text service provider delivering true dialog text messages. With an advanced platform, mobile campaigns can be quickly designed, customized and changed, while effectiveness can be instantly measured with detailed real-time reporting. The company's highly scalable, cloud-based technology enables companies to deliver...
5o9|3PMobile® builds software targeted to businesses who want to extend their Web services to mobile users. Our solution is designed to balance the need for user data privacy and control, with the need for enterprise commerce and convenience.
720°|20° is an air quality testing company that provides solutions for continuous indoor environmental quality monitoring, helping companies with healthy & productive workplaces. Addressing leading challenges in corporate real estate & facility management through analytics of quantitative data from sensors, buildings and occupants.
A's Child|Digital parental control and personal data analysis service “Filii” for Children.Development and operation of Filii and related business.
AB Tasty|AB Tasty is a SaaS-based application that enables e-marketers to optimize their website and conversion rate without technical knowledge.It offers an easy-to-use and feature-packed solution to run all kinds of A/B and multivariate tests with minimal technical integration.
Zentri|Zentri is radically changing the way product companies deliver secure mobile and cloud connected products that deliver rich connected experiences. Leveraging Zentri’s Silicon-to-Cloud Secure Connected Product Platform, our customers get to market in weeks instead of years with highly secure and robust products. In addition to delivering the...
ADman Media|ADman Media is a video supply-side platform that enables its users to optimize their inventory and maximize their revenue.  Its state of the art technology allows advertisers to reach their target with innovative native video formats in high quality inventory.ADman was founded in 2015, headquartered in Barcelona, Spain with nine offices around...
AFreeze|AFreeze is a medical device company dedicated to improve the treatment for patients with cardiac arrythmias. Their products are designed to improve patient’s lives and their health.
AVentures Capital|AVentures Capital invests at early stage and looks to team up with amazing entrepreneurs from Eastern Europe, particularly Ukraine, who build global businesses. The Fund's investment focus will be across software tech space, including cloud, storage, enterprise solutions, web, mobile, IoT and other software tech related.
Abeona Therapeutics|Abeona Therapeutics, Inc. is developing gene therapy based potential cures for the deadly childhood diseases Sanfilippo (SF) Syndrome Type A and Type B.
Abide Therapeutics|Abide Therapeutics, Inc., a pharmaceutical company, develops serine hydrolase inhibitor. The company was incorporated in 2011 and is based in Princeton, New Jersey.
Absynth Biologics|Absynth Biologics has been created with the initial goal of developing immunological prophylaxis and therapy to combat bacterial infections.  Absynth’s strategy is to exploit the characterisation of carefully selected novel proteins Staphylococcus aureus (S. aureus)in bacteria as immunological targets.
Acceptd|Acceptd was founded to better connect applicants with opportunity and streamline the recruiting and review process for decision makers. We believe the right opportunity should be accessible to any applicant regardless of geography or socio-economic status.
AchieveIt|AchieveIt's cloud-based system helps you manage a portfolio of plans and their outcomes with ease and sophistication. Built-in accountability and update automation make reporting more efficient and accurate. The system's 360° cross-plan visibility provides better insight into how your initiatives work together to impact the organization...
Adama Materials|Adama Materials Inc., founded in 2008, is a Honolulu, Hawaii-based developer of proprietary nanotechnology-based advanced materials for use in composite materials and other applications.
AddSearch|AddSearch is a startup focused on creating the best search solution for websites. Based in Helsinki, Finland, the company was founded by a team of highly experienced online professionals.
Addapp|Addapp is a mobile application that translates its users’ health apps and activity tracker data into actionable recommendations. The application provides its users with insights into their well-being and helps them improve factors like sleep, nutrition, fitness, and mood.Addapp was launched in 2014 and is based in San Francisco, California.
Adventoris|Adventoris specialises in the development of ground breaking Mobile Business Software. Given the huge changes in technology, and its revolutionary impact on the way we live and work, Adventoris is seeking to capitalise on this tremendous opportunity.
Agolo|Agolo is the world’s most advanced summarization software. Connect to news, documents, cloud storage to create summaries in real-time. Agolo’s team is led by a Columbia PhD natural language processing expert and a Columbia MBA Rakuten engineer who worked directly with its CEO, Hiroshi Mikitani, an Agolo investor.
AIR.TV|AIR.TV enables the distribution and monetization of viral videos on websites. Publishers and content owners are now able to generate earnings when publishers embed videos on their website.  It's completely automatic and it works with existing articles, embeds, and workflow. Publishers add one line of code to their site to start generating...
AirSig Inc.|"Best authentication solution and password alternative. A ""sign in air"" solution with high security rate and high convenience."
Aito Technologies|We are a world leader in Customer Experience Analytics for mobile operators. Aito provides better understanding and management the entire customer life cycle helping them identify key relationships and the context between business drivers, customer segments, networks, services, and devices, throughout the customer life cycle.
Akita|Akita is a full-featured Customer Success Management platform.
Aktifmob Mobilicious Media Agency|Aktifmob provides end to end solutions Mobile Advertising and Marketing to advertisers and publishers. The company links advertisers and publishers by delivering mobile marketing campaign to Indonesia telecoms' subscribers as core audience.
GRIDSMART Technologies, Inc.|Aldis, Inc., a CleanTech company, develops, commercializes, and sells traffic and energy management technology and services to municipal partners. The company offers GridSmart, a vision-based traffic monitoring and control system. Its GridSmart line of products include Spectra 360, a single-camera solution that sees in various directions; GridSmart...
