|company_name|description
0|100Plus|100Plus is a personalized health prediction startup using data analytics and game mechanics to show how small changes in behavior can lead to a longer and better life. 100Plus is led by Chris Hogg, who has over a decade of experience in healthcare and health data analytics and co-founded by healthcare innovator Ryan Howard, Founder and CEO of Practice Fusion.
1|15Five|15Five provides web-based employee engagement and performance software that helps create high performing teams by combining OKRs, pulse surveys,  peer recognition, and feedback in one simple weekly check-in. Over 1,100 businesses worldwide use 15Five to allow employees to share their triumphs and challenges, stay focused on key objectives, and get regular feedback from managers who support them in reaching their potential.
2|24PageBooks|24PageBooks, Inc. provides digital eBooks on emerging trends, new business strategies, and personal growth subjects. It offers instant access to business and self-improvement insights under various categories through online, including start-up stories, book reviews, business titles, creativity, entrepreneurship, featured, instant expertise, lifestyle, new book titles, publishing, social networks, the eBook evolution, and uncategorized. The company provides its services through catalog, and Amazon and Apple iBooks stores distribution channels. 24PageBooks, Inc. was incorporated in 2011 and is based in Rochester, New York.
3|3C Plus|3C Plus provides a cloud-based solution for small and medium-sized contact centers, giving them a chance to access top-notch technology for cheap. Their solution, which is completely in the cloud, has no setup and implementation fees, thus enabling smaller clients to play a larger role in their respective markets. These facts allow for agents to work from home, since no physical hardware is necessary other than a computer, an internet connection and a headset.
4|3Play Media|3Play Media provides a more technologically advanced and cost-effective captioning, audio description, and subtitling solution. We work with more than 2,000 customers across media & entertainment, enterprise and educational institutions. Our methods allow us to reduce the cost and simplify the process, while maintaining premium quality levels. We provide all major caption formats, efficient workflows, an API, and fast turnaround. 3Play Media was borne out of MIT in 2007 and operates in Boston, MA.
5|3Scan|3Scan is turning tissue into bits by building robotic microscopy tools and software for large-scale sample analysis and 3D visualizations.  Many diseases emerge only at a tissue level, such as cancer, heart disease, lung disease, stroke, Alzheimer's, and diabetes.  3Scan enables higher throughput, greater quantification, and broader image analysis than what is currently possible with traditional histopathology.  3Scan's data-driven approach is expanding our understanding of tissue biology and will lead to the discovery of new diagnostics and therapeutics.
6|3scale|3scale makes it easy to open, secure, distribute, control and monetize APIs. Powerful, secure and Web scalable, 3scale is the API Management Platform built with performance, customer control and excellent time-to-value in mind. Powering more than 700 customer APIs, 3scale enables distribution of company data, content or services to multiple devices or mobile/Web applications; and makes it easy to productize APIs. No other solution gives API providers so much power, ease and flexibility in such a cost effective way. Customers span the Fortune 500, government, academia and startups including Coldwell Banker, Johnson Controls, SITA, CrunchBase, UC Berkeley and Campbellâ€™s Soup. 3scale also powers the API Strategy & Practice Conference and APIs.io, the first open source API search engine. Unlock the power of your APIs with 3scale. Features include: - API access control & security - Policy management (set tiers, rate limits, automatic provisioning, pricing rules, etc.)- API traffic monitoring and analytics- Developer/Partner portal- Billing and Payments management (with Stripe and Braintree)How It Works:  3scale separates the API program cloud management layer from traffic management components (on-premise, cloud or CDN). Working together, these two layers allow powerful traffic control to be positioned where its needed in the architecture with centralized interface management. The result is traffic control managed from a single location - without having to flow through 3scale -  while APIs can be delivered over any, or multiple channels. The result is low latency, increased control and privacy, lower vulnerability and greater cost effectiveness.3scale has offices in San Francisco, USA and Barcelona, Spain. For more information on 3scale, visit: www.3scale.net.
7|404 Found!|404 Found offered customer relationship management services and software, and online marketing. The company ended its operations in 2002 in the aftermath of the bubble burst. At its peak, 404 Found! operated in France, Italy, Spain, Germany and the UK.The company helped start ups to define their Internet strategy and operational deployment by conducting sectoral studies, competing positioning, schedule of conditions, etc. In 2001, the consulting division of 404 Found! was acquired by Deloitte & Touche.
8|4Cable TV|4Cable TV Inc. is a South Carolina based company providing signal distribution equipment to the cable TV industry throughout the United States and Europe. 4Cable TV Inc. has developed innovative and proprietary circuitry that allows a low current 1 GHz CATV amplifier to be constructed with up to a dramatic 75% decrease in current power requirements, while maintaining essentially the same operational specifications. The Company began shipping PowerMiser modules in September 2007 and the devices are operating flawlessly in the field. These units are based on the Companyâ€™s original design (PowerMiser 1). Recently the Company has completed engineering work which results in an additional 50% reduction in power requirements beyond PowerMiser 1, bringing the total reduction to 75% as compared to competitive product offerings.
9|5app|5app is a mobile application software toolkit vendor which provides an environment for the rapid application development.The company also offers Build Service, a platform is designed for developers who have traditional web development and design skills and want to use those skills to create custom apps for iOS and Android. The new service also provides a test and publishing environment within the 5app enterprise app store.Build Service enables its users to create a secure app store to provide employees with a directory of work related mobile apps in one place, curate publicly available apps, upload privately developed apps that are then securely published to employees, build company apps in-house using HTML and streamline development by rapidly iterating versions, test apps in a secure environment by placing them in a testing store for feedback, before publishing to the live enterprise store, and more.
