|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
0|42|800000.0|Enterprise Software|800000.0|operating|USA|San Francisco|2.0|2013.0|technology
1|1248|378812.0|Software|378812.0|operating|GBR|Cambridge|1.0|2013.0|technology
2|#waywire|1750000.0|News|1750000.0|acquired|USA|New York|1.0|2012.0|events, travels, leisure and entertainment
3|'Rock' Your Paper|40000.0|Publishing|40000.0|operating|EST|Tallinn|1.0|2012.0|sales, marketing and advertising
4|(In)Touch Network|1500000.0|Electronics|1500000.0|operating|GBR|London|1.0|2011.0|consumer electronics
5|1,2,3 Listo|40000.0|E-Commerce|40000.0|operating|CHL|Las Condes|1.0|2012.0|online platforms and marketplaces
6|10 Minutes With|400000.0|Education|4400000.0|operating|GBR|London|2.0|2013.0|education
7|1000 Corks|40000.0|Search|40000.0|operating|USA|Lake Oswego|1.0|2008.0|technology
8|1000 Markets|500000.0|Marketplaces|500000.0|acquired|||1.0|2009.0|online platforms and marketplaces
9|1000memories|15000.0|Curated Web|2535000.0|acquired|USA|San Francisco|2.0|2010.0|services
10|1001 Menus|522169.0||||||||
11|100Plus|750000.0|Analytics|1250000.0|acquired|USA|San Francisco|2.0|2011.0|technology
12|100health|420000.0|Health Care Information Technology|420000.0|operating|USA|Madison|1.0|2014.0|healthcare
13|10BestThings|50000.0|Curated Web|50000.0|closed|USA|Cleveland|1.0|2009.0|services
14|10sec|1600000.0|Mobile Commerce|1600000.0|operating|||2.0|2013.0|online platforms and marketplaces
15|121cast|250000.0|Mobile|270000.0|operating|AUS|Melbourne|2.0|2012.0|consumer electronics
16|121nexus|69000.0||||||||
17|1234ENTER|500000.0|Advertising|650267.0|operating|||2.0|2012.0|sales, marketing and advertising
18|13th Lab|700000.0|Mobile|700000.0|operating|SWE|Stockholm|1.0|2010.0|consumer electronics
19|140Fire|500000.0|Entertainment|500000.0|operating|USA|Santa Monica|1.0|2010.0|events, travels, leisure and entertainment
